state,total,Murder and nonnegligent manslaughter,Rape (revised definition1),Aggravated assault,Simple assault,Intimidation,Robbery,Burglary,Larceny-theft,Motor vehicle theft,Arson,Destruction/damage/vandalism,Crimes against society,Other
Total,7321,9,24,873,1687,2109,134,123,231,20,39,1913,82,77
Alabama,17,0,0,0,2,11,0,0,2,0,0,2,0,0
Alaska,13,0,0,1,6,1,1,0,0,0,1,3,0,0
Arizona,291,0,0,41,65,112,6,1,4,0,0,62,0,0
Arkansas,15,0,0,1,5,2,0,1,1,0,1,3,1,0
California,1142,0,1,191,240,308,31,14,6,2,12,337,0,0
Colorado,126,0,1,15,25,39,4,1,1,0,1,39,0,0
Connecticut,124,0,0,12,18,40,1,1,7,0,0,39,5,1
Delaware,19,0,0,1,7,5,0,0,0,0,0,5,0,1
District of Columbia,127,0,0,17,62,23,6,0,2,0,0,17,0,0
Florida,110,0,0,28,28,18,4,0,0,0,1,31,0,0
Georgia,46,0,,6,16,12,1,1,0,0,0,10,0,0
Idaho,35,1,0,7,9,5,0,0,0,0,0,13,0,0
Illinois,122,0,1,23,32,31,1,0,1,0,1,32,0,0
Indiana,163,3,1,4,24,101,1,0,0,0,0,23,5,1
Iowa,21,0,0,4,2,8,0,0,0,0,1,5,1,0
Kansas,70,0,0,16,11,26,0,2,4,0,0,9,0,2
Kentucky,241,0,0,15,39,76,4,11,20,4,2,61,2,7
Louisiana,33,0,0,5,10,7,0,2,3,0,0,4,2,0
Maine,45,0,0,1,6,23,0,0,1,0,0,14,0,0
Maryland,40,0,0,11,11,0,1,0,0,0,0,17,0,0
Massachusetts,444,0,1,54,84,139,2,4,14,0,3,136,2,5
Michigan,459,0,3,62,96,179,2,6,10,1,1,75,16,8
Minnesota,165,0,0,28,52,47,4,0,1,0,1,32,0,0
Mississippi,10,0,0,0,3,0,0,2,2,0,0,3,0,0
Missouri,114,0,1,27,32,20,7,2,1,2,1,20,1,0
Montana,20,0,1,1,2,3,0,2,4,1,0,4,1,1
Nebraska,35,0,1,4,14,4,1,0,0,0,0,8,2,1
Nevada,49,0,1,13,18,3,3,1,0,1,0,9,0,0
New Hampshire,40,0,0,1,5,24,0,0,0,0,0,10,0,0
New Jersey,308,0,0,2,12,179,3,2,2,0,0,108,0,0
New Mexico,36,0,0,3,13,11,1,2,0,0,0,6,0,0
New York,598,0,1,61,209,0,9,11,11,0,7,289,0,0
North Carolina,208,0,0,27,47,70,5,3,5,0,1,50,0,0
North Dakota,8,0,0,1,4,3,0,0,0,0,0,0,0,0
Ohio,508,0,0,22,68,224,6,22,58,5,0,84,3,16
Oklahoma,35,0,2,2,7,15,2,0,0,0,1,5,0,1
Oregon,122,0,1,18,20,33,1,2,1,0,0,43,2,1
Pennsylvania,67,0,0,3,24,25,0,1,2,0,2,10,0,0
Rhode Island,13,0,0,0,4,0,1,0,0,0,0,7,1,0
South Carolina,23,0,0,4,5,4,0,0,2,0,0,8,0,0
South Dakota,21,0,0,1,9,2,0,1,1,0,0,3,4,0
Tennessee,190,0,0,18,62,44,2,3,9,0,0,35,14,3
Texas,224,5,0,42,57,53,9,3,8,0,0,42,0,5
Utah,72,0,2,2,22,2,1,3,6,0,0,18,13,3
Vermont,26,0,0,1,8,1,0,1,4,0,0,11,0,0
Virginia,150,0,2,10,52,31,2,1,4,0,1,42,1,4
Washington,482,0,2,52,111,133,11,13,22,4,1,113,5,15
West Virginia,48,0,2,10,16,2,1,2,9,0,0,3,1,2
Wisconsin,42,0,0,4,10,10,0,2,3,0,0,13,0,0
Wyoming,4,0,0,1,3,0,0,0,0,0,0,0,0,0
